slug,date,cover_status,cover_width,cover_url,description_empty,missing_caption,figures_missing_alt,residual_html,conversion_gaps,legacy_tokens,bare_angle_urls,notes
2016-06-17-meet-newest-member-steele-family,2016-06-17,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573564402/OFReport/2016-06-17-meet-newest-member-steele-family/baby-steele-2016-crp-12-6_lvsp5c.jpg,"",yes,"","","","","",""
2016-09-22-platform-rising,2016-09-22,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573555930/OFReport/2016-09-22-platform-rising/josh-preaching-cmo-2016_ulanjs.jpg,"","","",genuine <a> link,"","","",""
2016-12-31-translators,2016-12-31,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573572104/OFReport/2016-12-31-translators/IMG_1900-12-6_kxzjlk.jpg,"","","","","","","",""
2017-03-29-meet-david-noble,2017-03-29,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573405111/OFReport/2017-03-29-meet-david-noble/david-collage_dytfdl.jpg,"","","","","","","",""
2017-05-24-spring-family-photos,2017-05-24,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573404614/OFReport/2017-05-24-spring-family-photos/steele-family-2017-12-6_xnplla.jpg,"","","","","","","",""
2017-06-13-bible-first-kids,2017-06-13,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573401900/OFReport/2017-06-13-bible-first-kids/bible-first-kids-12-6_og2mea.jpg,"","","",<script> (podcast/embed); <blockquote> (instagram); stray <div>; genuine <a> link; <sup>/<figcaption>/<br>,"",&#39;,"",""
2017-06-29-lviv-rope-course,2017-06-29,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573400861/OFReport/2017-06-29-lviv-rope-course/rope-course-12-6_xxdjsy.jpg,"","","",<video>/<audio> (self-hosted),"","","",""
2017-08-04-meet-ralph,2017-08-04,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573400669/OFReport/2017-08-04-meet-ralph/meet-ralph-12-6_i0k74c.jpg,"","","",stray <div>; underline/styling <span>,"","","",""
2017-08-12-a-chance-to-give-back,2017-08-12,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573571847/OFReport/2017-08-12-a-chance-to-give-back/mom-seminar-group-12-6_h8v4dn.jpg,"","","","","","","",""
2017-11-08-grab-bag-report,2017-11-08,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1573399280/OFReport/2017-11-08-grab-bag-report/grab-bag-cover-2000w_qwgkyh.jpg,"","","","","","","",""
2017-12-21-one-sunday-afternoon,2017-12-21,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571938781/OFReport/2017-12-21-one-sunday-afternoon/kids-in-snow-12-6_ot5lzj.jpg,"","","","","","","",""
2018-02-05-coming-to-america,2018-02-05,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571937734/OFReport/2018-02-05-coming-to-america/america-trip-12-6_jn4isg.jpg,"","","","","","","",""
2018-03-19-two-robes,2018-03-19,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571909478/OFReport/2018-03-19-two-robes/two-robes-12-6_tegmbw.jpg,"","",1,<video>/<audio> (self-hosted),"","","",""
2018-06-24-sharpening-arrows,2018-06-24,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571908949/OFReport/2018-06-24-sharpening-arrows/teaching-forum-mall-12-6_vbjilu.jpg,"","",1,"","","","",""
2018-09-30-vision-to-reality,2018-09-30,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571908092/OFReport/2018-09-30-vision-to-reality/dobro-zlo-group-12-6_eitj7q.jpg,"","","","","","","",""
2018-11-27-to-the-ends-of-the-earth,2018-11-27,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571818789/OFReport/2018-11-27-to-the-ends-of-the-earth/villeneuve-family-1200-630_w56o2z.jpg,"","","","","","","",""
2019-01-25-chapter-of-blessing,2019-01-25,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571903061/OFReport/2019-01-25-chapter-of-blessing/steeles-ark-encounter-12-6_sxyaho.jpg,"","","","","",&apos;,"",""
2019-02-11-weve-got-news,2019-02-11,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571902199/OFReport/2019-02-11-weve-got-news/baby-on-the-way-1200-630_uxyuha.jpg,"","","","","","","",""
2019-03-30-operation-library,2019-03-30,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571900771/OFReport/2019-03-30-operation-library/dobro-i-zlo-library-05-1200-630_pmwaod.jpg,"","",10,"","","","",""
2019-06-07-calm-before-the-storm,2019-06-07,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571898092/OFReport/2019-06-07-calm-before-the-storm/daddys-home-cover-1200-630_czmh0h.jpg,"","",1,"","",&apos;,"",""
2019-10-14-meet-mia,2019-10-14,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1571808070/OFReport/2019-10-14-meet-mia/mia-cover-1200-630_s1fflh.jpg,"","","","","",&ldquo;; &rdquo;,"",""
2019-12-13-fall-family-photos,2019-12-13,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1576234307/OFReport/2019-12-13-fall-family-photos/fall-family-cover-12-6_wfjp7q.jpg,"","",4,"","",&ldquo;; &rdquo;,"",""
2019-12-23-kade-to-ukraine,2019-12-23,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1576849900/OFReport/2019-12-23-kade-to-ukraine/kade-tracting-12-6_hyagya.jpg,"","",3,"","","","","<article-svg> link=""https://cmoproject.org/"" not supported by svg shortcode"
2020-04-10-lviv-angels,2020-04-10,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1586535433/OFReport/2020-04-10-lviv-angels/5-passengers-12-6_qbryax.jpg,"","","","","","","",""
2020-04-29-love-story-cafe,2020-04-29,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1588164627/OFReport/2020-04-29-love-story-cafe/love-story-cafe-12-6_ol9d4r.jpg,"","",10,"","","","",""
2020-05-15-little-artists-and-producers,2020-05-15,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1589535767/OFReport/2020-05-15-little-artists-and-producers/kels-and-kids-12-6_nbaxpr.jpg,"","","","","","","",""
2020-08-06-standing-in-the-gap,2020-08-06,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1596706604/OFReport/2020-08-06-standing-in-the-gap/joshua-preaching-lw-church_bouwvx.jpg,"","","","","","","",""
2020-12-08-a-time-to-write,2020-12-08,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1607372397/OFReport/2020-12-08-a-time-to-write/learning-from-atheists_wltyca.jpg,"","",2,"","","","",""
2021-03-04-an-unexpected-journey,2021-03-04,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1614876507/OFReport/2021-03-04-an-unexpected-journey/back-together-again-1200x630-ratio_gmku7v.jpg,"","","","","","","",""
2021-04-17-leaving-home-to-go-home,2021-04-17,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1618583522/OFReport/2021-04-17-leaving-home-to-go-home/flight-horizon-1200w_albzal.jpg,"","","","","","","",""
2021-06-02-bible-first-pioneers,2021-06-02,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1622125784/OFReport/2021-06-02-bible-first-pioneers/pioneers-zoom-call-12x6_er4toi.jpg,"","","","","",&nbsp;,"",""
2021-08-11-return-to-the-mountains,2021-08-11,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1628608725/OFReport/2021-08-11-return-to-the-mountains/van-house-hills-1200x630_l7ttf1.jpg,"","","","","","","",""
2021-08-19-coming-soon-to-a-neighborhood-near-you,2021-08-19,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1629396441/OFReport/2021-08-19-coming-soon-to-a-neighborhood-near-you/paper-airplane-1200x630_x5i6wv.jpg,"","",1,"","","","",""
2021-12-14-shindigs-and-such,2021-12-14,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1639497442/OFReport/2021-12-14-shindigs-and-such/shindig-main-1200-630_re996l.jpg,"","","","","","","",""
2022-01-10-gearing-up-for-cmo-2022,2022-01-10,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1641833524/OFReport/2022-01-10-gearing-up-for-cmo-2022/cmo-2022_nmptn9.jpg,"","","","","","","",""
2022-01-24-home-sweet-ukraine,2022-01-24,unprobed,,https://res.cloudinary.com/dnkvsijzu/image/upload/v1643017000/OFReport/2022-01-24-home-sweet-ukraine/steele-family-dfw-1200x630_ghza38.jpg,"","","","","","","",""
